[INFO] 23:24:43:630 Mi-RAM HQ/(9796:9796): Servidor listo para recibir al cliente
[ERROR] 23:25:28:202 Mi-RAM HQ/(9796:9796): el cliente se desconecto. Terminando servidor
[INFO] 23:28:46:753 Mi-RAM HQ/(10325:10325): Servidor listo para recibir al cliente
[ERROR] 23:29:13:196 Mi-RAM HQ/(10325:10325): el cliente se desconecto. Terminando servidor
[INFO] 23:34:18:202 Mi-RAM HQ/(10878:10878): Servidor listo para recibir al cliente
[ERROR] 23:34:28:893 Mi-RAM HQ/(10878:10878): el cliente se desconecto. Terminando servidor
[INFO] 23:56:00:338 Mi-RAM HQ/(12710:12710): Servidor listo para recibir al cliente
[ERROR] 23:56:17:862 Mi-RAM HQ/(12710:12710): el cliente se desconecto. Terminando servidor
[INFO] 23:56:48:328 Mi-RAM HQ/(12776:12776): Servidor listo para recibir al cliente
[ERROR] 23:57:32:787 Mi-RAM HQ/(12776:12776): el cliente se desconecto. Terminando servidor
[INFO] 00:00:29:997 Mi-RAM HQ/(13126:13126): Servidor listo para recibir al cliente
[ERROR] 00:01:00:770 Mi-RAM HQ/(13126:13126): el cliente se desconecto. Terminando servidor
[INFO] 00:01:15:933 Mi-RAM HQ/(13238:13238): Servidor listo para recibir al cliente
[ERROR] 00:01:30:781 Mi-RAM HQ/(13238:13238): el cliente se desconecto. Terminando servidor
[INFO] 11:35:21:834 Mi-RAM HQ/(5554:5554): Servidor listo para recibir al cliente
[ERROR] 11:35:47:078 Mi-RAM HQ/(5554:5554): el cliente se desconecto. Terminando servidor
[INFO] 11:38:09:369 Mi-RAM HQ/(6021:6021): Servidor listo para recibir al cliente
[ERROR] 11:38:21:456 Mi-RAM HQ/(6021:6021): el cliente se desconecto. Terminando servidor
[INFO] 11:38:38:279 Mi-RAM HQ/(6080:6080): Servidor listo para recibir al cliente
[ERROR] 11:47:09:997 Mi-RAM HQ/(6080:6080): el cliente se desconecto. Terminando servidor
[INFO] 11:48:29:048 Mi-RAM HQ/(7469:7469): Servidor listo para recibir al cliente
[ERROR] 11:48:34:109 Mi-RAM HQ/(7469:7469): el cliente se desconecto. Terminando servidor
[INFO] 11:50:41:807 Mi-RAM HQ/(7814:7814): Servidor listo para recibir al cliente
[ERROR] 11:50:59:489 Mi-RAM HQ/(7814:7814): el cliente se desconecto. Terminando servidor
[INFO] 12:33:20:010 Mi-RAM HQ/(13575:13575): Servido activo, esperando instrucciones ... 

[INFO] 12:34:01:923 Mi-RAM HQ/(13658:13658): Servido activo, esperando instrucciones ... 

[INFO] 12:37:43:634 Mi-RAM HQ/(14473:14473): Servido activo, esperando instrucciones ... 

[INFO] 12:39:09:318 Mi-RAM HQ/(14666:14666): Servido activo, esperando instrucciones ... 

[INFO] 12:40:33:701 Mi-RAM HQ/(14892:14892): Servido activo, esperando instrucciones ... 

[INFO] 12:41:36:002 Mi-RAM HQ/(15115:15115): Servido activo, esperando instrucciones ... 

[INFO] 12:43:42:315 Mi-RAM HQ/(15341:15341): Servido activo, esperando instrucciones ... 

[INFO] 12:44:29:857 Mi-RAM HQ/(15525:15525): Servido activo, esperando instrucciones ... 

[INFO] 12:45:47:898 Mi-RAM HQ/(15642:15642): Servido activo, esperando instrucciones ... 

[INFO] 12:46:02:298 Mi-RAM HQ/(15673:15673): Servido activo, esperando instrucciones ... 

[INFO] 12:46:38:683 Mi-RAM HQ/(15727:15727): Servido activo, esperando instrucciones ... 

[INFO] 12:47:35:300 Mi-RAM HQ/(15815:15815): Servido activo, esperando instrucciones ... 

[INFO] 12:48:00:221 Mi-RAM HQ/(15854:15854): Servido activo, esperando instrucciones ... 

[INFO] 12:49:16:614 Mi-RAM HQ/(16017:16017): Servido activo, esperando instrucciones ... 

[INFO] 12:50:00:118 Mi-RAM HQ/(16113:16113): Servido activo, esperando instrucciones ... 

[INFO] 12:52:00:345 Mi-RAM HQ/(16364:16364): Servido activo, esperando instrucciones ... 

[INFO] 12:52:57:001 Mi-RAM HQ/(16441:16441): Servido activo, esperando instrucciones ... 

[INFO] 12:53:17:456 Mi-RAM HQ/(16470:16470): Servido activo, esperando instrucciones ... 

[INFO] 13:00:57:697 Mi-RAM HQ/(17142:17142): Servido activo, esperando instrucciones ... 

[INFO] 15:43:19:232 Mi-RAM HQ/(4227:4227): Servido activo, esperando instrucciones ... 

[INFO] 15:47:55:137 Mi-RAM HQ/(5245:5245): Servido activo, esperando instrucciones ... 

[INFO] 00:37:08:711 Mi-RAM HQ/(11417:11417): Servido activo, esperando instrucciones ... 

[INFO] 20:29:16:691 Mi-RAM HQ/(7410:7410): Servido activo, esperando instrucciones ... 

[INFO] 11:12:31:474 Mi-RAM HQ/(12194:12194): Servido activo, esperando instrucciones ... 

[INFO] 11:14:04:163 Mi-RAM HQ/(12326:12326): Servido activo, esperando instrucciones ... 

[INFO] 11:16:09:586 Mi-RAM HQ/(12541:12541): Servido activo, esperando instrucciones ... 

[INFO] 11:28:16:517 Mi-RAM HQ/(13691:13691): Servido activo, esperando instrucciones ... 

[INFO] 11:31:06:603 Mi-RAM HQ/(14111:14111): Servido activo, esperando instrucciones ... 

[INFO] 11:32:38:494 Mi-RAM HQ/(14290:14290): Servido activo, esperando instrucciones ... 

[INFO] 11:35:00:315 Mi-RAM HQ/(14535:14535): Servido activo, esperando instrucciones ... 

[INFO] 11:38:39:480 Mi-RAM HQ/(15024:15024): Servido activo, esperando instrucciones ... 

[INFO] 11:39:38:894 Mi-RAM HQ/(15137:15137): Servido activo, esperando instrucciones ... 

[INFO] 11:43:11:628 Mi-RAM HQ/(15596:15596): Servido activo, esperando instrucciones ... 

[INFO] 11:44:11:907 Mi-RAM HQ/(15746:15746): Servido activo, esperando instrucciones ... 

[INFO] 11:46:46:314 Mi-RAM HQ/(16093:16093): Servido activo, esperando instrucciones ... 

[INFO] 11:48:30:640 Mi-RAM HQ/(16321:16321): Servido activo, esperando instrucciones ... 

[INFO] 11:54:08:919 Mi-RAM HQ/(16964:16964): Servido activo, esperando instrucciones ... 

[INFO] 11:59:58:916 Mi-RAM HQ/(17664:17664): Servido activo, esperando instrucciones ... 

[INFO] 12:01:00:616 Mi-RAM HQ/(17803:17803): Servido activo, esperando instrucciones ... 

[INFO] 12:21:31:951 Mi-RAM HQ/(19658:19658): Servido activo, esperando instrucciones ... 

[INFO] 12:35:04:226 Mi-RAM HQ/(20726:20726): Servido activo, esperando instrucciones ... 

[INFO] 12:39:43:388 Mi-RAM HQ/(21717:21717): Servido activo, esperando instrucciones ... 

[INFO] 12:44:02:313 Mi-RAM HQ/(22130:22130): Servidor activo, esperando instrucciones ... 

[INFO] 16:05:55:098 Mi-RAM HQ/(9532:9532): Servidor activo, esperando instrucciones ... 

[INFO] 16:10:07:739 Mi-RAM HQ/(10244:10244): Servidor activo, esperando instrucciones ... 

[INFO] 16:14:18:682 Mi-RAM HQ/(10890:10890): Servidor activo, esperando instrucciones ... 

[INFO] 16:20:49:664 Mi-RAM HQ/(11771:11771): Servidor activo, esperando instrucciones ... 

[INFO] 18:33:30:975 Mi-RAM HQ/(23308:23308): Servidor activo, esperando instrucciones ... 

[INFO] 18:43:14:255 Mi-RAM HQ/(24944:24944): Servidor activo, esperando instrucciones ... 

[INFO] 01:12:08:607 Mi-RAM HQ/(5537:5537): Servidor activo, esperando instrucciones ... 

[INFO] 18:57:42:954 Mi-RAM HQ/(11893:11893): Servidor activo, esperando instrucciones ... 

[INFO] 19:18:55:929 Mi-RAM HQ/(14551:14551): Servidor activo, esperando instrucciones ... 

[INFO] 19:59:07:696 Mi-RAM HQ/(18684:18684): Servidor activo, esperando instrucciones ... 

[INFO] 20:07:13:741 Mi-RAM HQ/(19587:19587): Servidor activo, esperando instrucciones ... 

[INFO] 20:12:32:820 Mi-RAM HQ/(20266:20266): Servidor activo, esperando instrucciones ... 

[INFO] 20:14:55:996 Mi-RAM HQ/(20574:20574): Servidor activo, esperando instrucciones ... 

[INFO] 21:18:31:151 Mi-RAM HQ/(26648:26648): Servidor activo, esperando instrucciones ... 

[INFO] 21:19:38:336 Mi-RAM HQ/(26851:26851): Servidor activo, esperando instrucciones ... 

[INFO] 21:22:28:966 Mi-RAM HQ/(27136:27136): Servidor activo, esperando instrucciones ... 

[INFO] 21:32:26:607 Mi-RAM HQ/(28140:28140): Servidor activo, esperando instrucciones ... 

[INFO] 21:34:31:298 Mi-RAM HQ/(28376:28376): Servidor activo, esperando instrucciones ... 

[INFO] 23:20:56:709 Mi-RAM HQ/(4433:4433): Servidor activo, esperando instrucciones ... 

[INFO] 23:33:37:260 Mi-RAM HQ/(5748:5748): Servidor activo, esperando instrucciones ... 

[INFO] 00:02:16:481 Mi-RAM HQ/(8642:8642): Servidor activo, esperando instrucciones ... 

[INFO] 00:28:01:075 Mi-RAM HQ/(10837:10837): Servidor activo, esperando instrucciones ... 

[INFO] 00:28:46:491 Mi-RAM HQ/(10945:10945): Servidor activo, esperando instrucciones ... 

[INFO] 02:53:57:900 Mi-RAM HQ/(24862:24862): Servidor activo, esperando instrucciones ... 

[INFO] 01:52:15:284 Mi-RAM HQ/(3980:3980): Servidor activo, esperando instrucciones ... 

[WARNING] 01:55:11:150 Mi-RAM HQ/(3980:4213): Operacion desconocida. No quieras meter la pata
[INFO] 19:43:57:797 Mi-RAM HQ/(3922:3922): Servidor activo, esperando instrucciones ... 

[INFO] 19:49:22:590 Mi-RAM HQ/(4995:4995): Servidor activo, esperando instrucciones ... 

[INFO] 18:23:34:918 Mi-RAM HQ/(8836:8836): Servidor activo, esperando instrucciones ... 

[INFO] 18:24:18:787 Mi-RAM HQ/(9221:9221): Servidor activo, esperando instrucciones ... 

[INFO] 18:27:59:189 Mi-RAM HQ/(9696:9696): Servidor activo, esperando instrucciones ... 

[INFO] 18:30:17:943 Mi-RAM HQ/(9965:9965): Servidor activo, esperando instrucciones ... 

[INFO] 18:33:42:168 Mi-RAM HQ/(10413:10413): Servidor activo, esperando instrucciones ... 

[INFO] 18:35:49:015 Mi-RAM HQ/(10670:10670): Servidor activo, esperando instrucciones ... 

[INFO] 18:38:38:811 Mi-RAM HQ/(11036:11036): Servidor activo, esperando instrucciones ... 

[INFO] 18:41:20:173 Mi-RAM HQ/(11360:11360): Servidor activo, esperando instrucciones ... 

[INFO] 18:43:57:662 Mi-RAM HQ/(11731:11731): Servidor activo, esperando instrucciones ... 

[INFO] 18:50:20:118 Mi-RAM HQ/(12537:12537): Servidor activo, esperando instrucciones ... 

[INFO] 23:43:13:229 Mi-RAM HQ/(4821:4821): Servidor activo, esperando instrucciones ... 

[INFO] 23:51:54:010 Mi-RAM HQ/(5708:5708): Servidor activo, esperando instrucciones ... 

[INFO] 00:37:49:784 Mi-RAM HQ/(10266:10266): Servidor activo, esperando instrucciones ... 

[INFO] 00:42:59:576 Mi-RAM HQ/(10829:10829): Servidor activo, esperando instrucciones ... 

[INFO] 00:49:05:118 Mi-RAM HQ/(11282:11282): Servidor activo, esperando instrucciones ... 

[INFO] 01:01:46:878 Mi-RAM HQ/(12108:12108): Servidor activo, esperando instrucciones ... 

[INFO] 01:05:14:586 Mi-RAM HQ/(12412:12412): Servidor activo, esperando instrucciones ... 

[INFO] 02:38:19:167 Mi-RAM HQ/(23798:23798): Servidor activo, esperando instrucciones ... 

[INFO] 12:23:29:838 Mi-RAM HQ/(14219:14219): Servidor activo, esperando instrucciones ... 

[INFO] 12:40:46:573 Mi-RAM HQ/(16091:16091): Servidor activo, esperando instrucciones ... 

[INFO] 12:44:57:116 Mi-RAM HQ/(16485:16485): Servidor activo, esperando instrucciones ... 

[INFO] 14:16:19:391 Mi-RAM HQ/(25245:25245): Servidor activo, esperando instrucciones ... 

[INFO] 21:01:31:645 Mi-RAM HQ/(3934:3934): Servidor activo, esperando instrucciones ... 

[INFO] 22:56:21:569 Mi-RAM HQ/(6819:6819): Servidor activo, esperando instrucciones ... 

[INFO] 23:00:45:758 Mi-RAM HQ/(7880:7880): Servidor activo, esperando instrucciones ... 

[INFO] 23:13:49:729 Mi-RAM HQ/(9663:9663): Servidor activo, esperando instrucciones ... 

[INFO] 23:27:13:086 Mi-RAM HQ/(11154:11154): Servidor activo, esperando instrucciones ... 

[INFO] 01:43:04:214 Mi-RAM HQ/(4818:4818): Servidor activo, esperando instrucciones ... 

[INFO] 15:25:06:411 Mi-RAM HQ/(3955:3955): Servidor activo, esperando instrucciones ... 

